Robben,Bayern,MIT,8.5,84,1
M™ller,Bayern,MIT,8.5,247,1
Reus,Dortmund,MIT,8.5,128,1
Lewandowski,Bayern,STU,8.5,286,1
Kie_ling,Leverkusen,STU,5,92,1
Neuer,Bayern,TOR,5,198,1
Naldo,Wolfsburg,ABW,5,66,1
Boateng,Bayern,ABW,5,91,1
Raffael,Gladbach,STU,5,170,1
Caligiuri,Wolfsburg,MIT,5,37,1
Alaba,Bayern,ABW,5,119,1
Junuzovic,Bremen,MIT,4.8,112,1
Drmic,HSV,STU,4.8,-10,1
Huntelaar,Schalke,STU,4.7,79,1
Meier,E. Frankfurt,STU,4.5,72,1
Hummels,Dortmund,ABW,4.5,148,1
Leno,Leverkusen,TOR,4.5,196,1
Sch™rrle,Wolfsburg,MIT,4.5,62,1
Draxler,Wolfsburg,MIT,4.5,69,1
Rodriguez,Wolfsburg,ABW,4.5,48,1
